site,name,salary_min,salary_max,salary,firma,city,link
superjob.ru,Программист 1С,65000,80000,65 000 — 80 000 ₽,ЭкоСтиль,Москва,https://www.superjob.ru/vakansii/programmist-1s-32201617.html
superjob.ru,Программист-консультант 1С,160000,160000,160 000 ₽,Смарт-Т,"Москва,Волгоградский проспект",https://www.superjob.ru/vakansii/programmist-konsultant-1s-33026916.html
superjob.ru,Программист 1С (ERP),140000,140000,от 140 000 ₽,Балтийский текстиль,"Москва,Новогиреево, Рязанский проспект и ещё 1 станция",https://www.superjob.ru/vakansii/programmist-1s-32360558.html
superjob.ru,Программист 1С,130000,130000,130 000 ₽,НИТУ «МИСиС»,Москва,https://www.superjob.ru/vakansii/programmist-1s-32900555.html
superjob.ru,Программист 1С,158000,158000,158 000 ₽,Бетховен,"Москва,Нагатинская, Нагорная и ещё 1 станция",https://www.superjob.ru/vakansii/programmist-1s-32430883.html
superjob.ru,Программист 1С / Стажер,60000,60000,от 60 000 ₽,ПРИМА,"Москва,Ховрино",https://www.superjob.ru/vakansii/programmist-1s-33086945.html
superjob.ru,"Программист Java, C++",80000,80000,от 80 000 ₽,"АО ""ФЦНИВТ ""СНПО ""Элерон""",Москва,https://www.superjob.ru/vakansii/programmist-java-31351380.html
superjob.ru,Программист 1С,170000,170000,170 000 ₽,Кадровое агентство уникальных специалистов,"Москва,Краснопресненская",https://www.superjob.ru/vakansii/programmist-1s-32668857.html
superjob.ru,Программист 1С (УТ/ Розница),120000,120000,120 000 ₽,АПХ МИРАТОРГ,Москва,https://www.superjob.ru/vakansii/programmist-1s-32678838.html
superjob.ru,Программист 1C,130000,130000,от 130 000 ₽,Daewoo Power Products,"Москва,Тушинская, Волоколамская и ещё 1 станция",https://www.superjob.ru/vakansii/programmist-1c-32151301.html
superjob.ru,Программист 1С,190000,190000,190 000 ₽,УК Первая нерудная компания,"Москва,Кропоткинская, Парк Культуры",https://www.superjob.ru/vakansii/programmist-1s-32650148.html
superjob.ru,Программист 1С,120000,150000,120 000 — 150 000 ₽,Национальная электротехническая компания Морозова,Москва,https://www.superjob.ru/vakansii/programmist-1s-31819336.html
superjob.ru,Ведущий программист 1С,150000,150000,от 150 000 ₽,Консалтинговая группа ЕРМАК,"Москва,Площадь Ильича, Римская",https://www.superjob.ru/vakansii/veduschij-programmist-1s-32250396.html
superjob.ru,Веб-программист (PHP),90000,90000,90 000 — 90 000 ₽,НПП Гарант Сервис Университет,Москва,https://www.superjob.ru/vakansii/veb-programmist-31375774.html
superjob.ru,Программист 1С,120000,150000,120 000 — 150 000 ₽,СТРАТЕГИЯ,Москва,https://www.superjob.ru/vakansii/programmist-1s-32866785.html
superjob.ru,Программист SQL,120000,120000,120 000 ₽,НПП Гарант Сервис Университет,"Москва,Ломоносовский проспект",https://www.superjob.ru/vakansii/programmist-sql-32767326.html
superjob.ru,Программист Delphi,100000,113000,100 000 — 113 000 ₽,АНО СОШ Академическая Гимназия,"Москва,Сокольники",https://www.superjob.ru/vakansii/programmist-delphi-30280217.html
superjob.ru,Программист 1С,100000,100000,от 100 000 ₽,Стаффмикс,"Москва,Румянцево",https://www.superjob.ru/vakansii/programmist-1s-32822838.html
superjob.ru,Программист-разработчик CRM Битрикс (Bitrix),50000,100000,50 000 — 100 000 ₽,Новые технологии,"Москва,Строгино",https://www.superjob.ru/vakansii/programmist-razrabotchik-crm-bitriks-32808077.html
hh.ru,Веб-разработчик,100000,,до 100 000 руб., ИНКОМ-НЕДВИЖИМОСТЬ,Москва,https://hh.ru/vacancy/33961688?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
hh.ru,Программист С++/Qt,80000,,от 80 000 руб., Cappasity Inc.,Москва,https://hh.ru/vacancy/31273030?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
hh.ru,Программист iOS (Swift),80000,,от 80 000 руб., Cappasity Inc.,Москва,https://hh.ru/vacancy/31399856?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
hh.ru,Senior java developer,200000,,от 200 000 руб., HeadHunter::Backend,"Москва, Алексеевская",https://hh.ru/vacancy/32893126?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
hh.ru,C# разработчик,120000,160000,120 000-160 000 руб., Mindbox,"Москва, Белорусская и еще 1 ",https://hh.ru/vacancy/33261852?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
hh.ru,Senior PHP developer,140000,200000,140 000-200 000 руб., Zoon.ru,Москва,https://hh.ru/vacancy/34377223?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
hh.ru,Программист Javascript (Node.js),120000,,от 120 000 руб., Cappasity Inc.,Москва,https://hh.ru/vacancy/31273029?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
hh.ru,Фронтэнд девелопер,98700,141000,1 400-2 000 EUR, Lunu Solutions GmbH,Москва,https://hh.ru/vacancy/34539462?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
hh.ru,Senior WEB-Developer,250000,,до 250 000 руб., CBS Interactive,"Москва, Павелецкая",https://hh.ru/vacancy/30025456?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
hh.ru,Senior Full Stack Developer .NET,250000,,до 250 000 руб., CBS Interactive,"Москва, Павелецкая",https://hh.ru/vacancy/33100559?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
hh.ru,Ведущий разработчик Python / Software development / Team lead,200000,,от 200 000 руб., CATAPULTO.RU,Москва,https://hh.ru/vacancy/34200113?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
hh.ru,Frontend разработчик,140000,150000,140 000-150 000 руб., Мирафокс,Москва,https://hh.ru/vacancy/34591916?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
hh.ru,PHP программист,80000,140000,80 000-140 000 руб., АНО ДПО ИПК ТЕХНОПРОГРЕСС,"Москва, Технопарк",https://hh.ru/vacancy/32924154?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
hh.ru,Web-разработчик,120000,150000,120 000-150 000 руб., La Redoute Rus,Москва,https://hh.ru/vacancy/34587118?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
hh.ru,Программист 1С,120000,200000,120 000-200 000 руб., АВТОСПАР,"Москва, Алтуфьево",https://hh.ru/vacancy/34550658?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
